Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/delete/68323abdc3197b36243f6442,1,0,155.80479199707042,155.80479199707042,155.80479199707042,155.80479199707042,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abdc3197b36243f6459,1,0,155.12129200214986,155.12129200214986,155.12129200214986,155.12129200214986,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abdc3197b36243f6461,1,0,162.39475000475068,162.39475000475068,162.39475000475068,162.39475000475068,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abdc3197b36243f6463,1,0,160.60300001117866,160.60300001117866,160.60300001117866,160.60300001117866,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abdc3197b36243f647b,1,0,164.02695800934453,164.02695800934453,164.02695800934453,164.02695800934453,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abec3197b36243f6482,1,0,160.78720899531618,160.78720899531618,160.78720899531618,160.78720899531618,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abec3197b36243f6484,1,0,182.1639590052655,182.1639590052655,182.1639590052655,182.1639590052655,152.0,0.008393650367947439,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/delete/68323abec3197b36243f6488,1,0,162.81920800975058,162.81920800975058,162.81920800975058,162.81920800975058,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abec3197b36243f648b,1,0,161.0139170079492,161.0139170079492,161.0139170079492,161.0139170079492,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abec3197b36243f648f,1,0,156.73987499030773,156.73987499030773,156.73987499030773,156.73987499030773,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abec3197b36243f6493,1,0,167.97075000067707,167.97075000067707,167.97075000067707,167.97075000067707,152.0,0.008393650367947439,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/delete/68323abec3197b36243f64a6,1,0,157.19691599952057,157.19691599952057,157.19691599952057,157.19691599952057,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abec3197b36243f64ac,1,0,152.97287498833612,152.97287498833612,152.97287498833612,152.97287498833612,152.0,0.008393650367947439,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/delete/68323abec3197b36243f64bb,1,0,151.5311249968363,151.5311249968363,151.5311249968363,151.5311249968363,152.0,0.008393650367947439,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/delete/68323abec3197b36243f64c7,1,0,153.52666599210352,153.52666599210352,153.52666599210352,153.52666599210352,153.0,0.008393650367947439,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/delete/68323abec3197b36243f64cb,1,0,157.24158300145064,157.24158300145064,157.24158300145064,157.24158300145064,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abfc3197b36243f64d3,2,0,159.78425000503194,158.80206250585616,157.81987500668038,159.78425000503194,78.5,0.016787300735894878,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abfc3197b36243f64e6,1,0,152.97404199372977,152.97404199372977,152.97404199372977,152.97404199372977,152.0,0.008393650367947439,0.0,150,150,150,150,150,150,150,150,150,150,150
